Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step
3.56480827,-0.00336329136,24.0119358,0,0.003,0
3.23255257,-3.66981208,24.011556,-3.671,1.484,2.516
3.67780507,1.51190668,24.0270602,1.5,4.402,5.141
3.69026139,1.51054199,24.0446305,1.5,4.423,7.609
3.69903453,1.50979798,24.0615883,1.5,4.429,10.109
3.70649943,1.51326583,24.0616369,1.5,4.44,12.625
3.71290641,1.51176604,24.0628908,1.5,4.445,15.094
3.71854828,1.50988291,24.0665416,1.5,4.45,17.578
3.72374759,1.51285246,24.0575187,1.5,4.456,20.031
3.72918108,1.50936835,24.0598966,1.5,4.461,22.531
3.73373925,1.50932924,24.0497498,1.5,4.467,25.047
3.73846189,1.51241502,24.0376067,1.498,4.472,27.562
3.74292164,1.50972749,24.0332759,1.498,4.477,30.094
3.74739451,1.51266697,24.0213379,1.5,4.483,32.609
3.75107664,1.51158787,24.0203887,1.5,4.488,35.078
3.75517055,1.50755484,24.0073446,1.5,4.488,37.547
3.75906074,1.51392442,24.0028177,1.5,4.494,40.016
3.76231422,1.50775277,23.9873071,1.498,4.499,42.484
3.76628699,1.51070927,23.9819887,1.5,4.499,45.016
3.76992117,1.50885168,23.9691172,1.5,4.504,47.531
3.77300415,1.51172389,23.9666685,1.5,4.51,50.062
3.77645091,1.51013266,23.9548794,1.5,4.51,52.578
3.77965668,1.51179935,23.9434093,1.5,4.515,55.047
3.78304349,1.51126401,23.9327837,1.5,4.515,57.516
3.78580597,1.51124599,23.925786,1.5,4.521,59.984
3.78909922,1.51019612,23.9145254,1.5,4.526,62.453
3.791814,1.5117082,23.9034396,1.5,4.526,64.984
3.79439802,1.50761651,23.890925,1.498,4.531,67.5
3.79738506,1.50937335,23.8807173,1.498,4.531,70.031
3.80011789,1.51524969,23.8822161,1.498,4.537,72.547
3.80307873,1.51108798,23.8736996,1.5,4.537,75.078
3.80535183,1.51193077,23.8610952,1.5,4.542,77.594
3.80783257,1.51047469,23.8627274,1.498,4.542,80.109
3.81027367,1.50996956,23.8490314,1.498,4.542,82.578
3.81270766,1.51109046,23.8476593,1.498,4.548,85.062
3.81510538,1.50837017,23.8328003,1.5,4.553,87.516
3.81700406,1.51102605,23.8404895,1.498,4.553,89.984
3.8190778,1.51376907,23.8288852,1.5,4.553,92.469
3.82118957,1.50894035,23.8108355,1.5,4.558,95
3.82330055,1.51094182,23.7993931,1.5,4.558,97.516
3.82508646,1.51235293,23.7952263,1.5,4.558,100.031
3.82662253,1.51115828,23.7804786,1.498,4.564,102.562
3.82868122,1.5106986,23.7807302,1.498,4.564,105.078
3.8300597,1.51043067,23.7783008,1.5,4.564,107.562
3.8315238,1.51136989,23.7674119,1.5,4.569,110.031
3.83319734,1.50948483,23.7691327,1.498,4.569,112.516
3.83451064,1.51119866,23.7647372,1.5,4.569,115.094
3.83579195,1.51138195,23.7501474,1.5,4.569,117.625
3.83705138,1.51184632,23.7439421,1.5,4.575,120.141
3.83824404,1.51073692,23.740653,1.5,4.575,122.656
3.83935247,1.51209274,23.7358607,1.498,4.575,125.187
3.84033645,1.50955784,23.7264634,1.5,4.575,127.703
3.84137643,1.51174564,23.7230755,1.5,4.58,130.234
3.84225535,1.50901764,23.7231725,1.5,4.58,132.75
3.84314687,1.50863135,23.7151393,1.5,4.58,135.281
3.84380305,1.5100813,23.7159054,1.5,4.58,137.797
3.84467121,1.51220585,23.7014394,1.5,4.58,140.312
3.84572756,1.51277268,23.7088191,1.5,4.58,142.875
3.84591287,1.51184678,23.7115732,1.5,4.586,145.344
3.84697038,1.50862075,23.7049479,1.498,4.586,147.812
3.84794685,1.50953579,23.7028582,1.5,4.586,150.281
3.84822719,1.51272937,23.6955846,1.498,4.586,152.812
3.84885987,1.51184501,23.6918807,1.5,4.586,155.328
3.84955889,1.51003066,23.6929063,1.5,4.586,157.859
3.85001492,1.50758729,23.6949303,1.5,4.586,160.375
3.85087266,1.51092143,23.6888925,1.498,4.586,162.906
3.8510586,1.51174452,23.6839618,1.5,4.591,165.422
3.85191586,1.51020376,23.6850498,1.5,4.591,167.953
3.85214111,1.51167022,23.6841524,1.5,4.591,170.469
3.85271472,1.51045762,23.6894719,1.5,4.591,173
3.85324629,1.51043545,23.6767824,1.5,4.591,175.516
3.85369757,1.5099964,23.6776748,1.5,4.591,178.047
3.85424941,1.5090118,23.6796156,1.5,4.591,180.562
3.85485204,1.51014747,23.6759755,1.498,4.591,183.078
3.855149,1.50965497,23.6732945,1.5,4.591,185.609
3.85565309,1.50989345,23.6777768,1.5,4.591,188.078
3.85603634,1.51315818,23.6733029,1.5,4.591,190.547
3.85655573,1.51210267,23.6707003,1.5,4.596,193.062
3.85714406,1.50917106,23.6654423,1.5,4.591,195.531
3.85766168,1.50780311,23.6696858,1.498,4.596,198.016
3.85791938,1.51322685,23.6676474,1.498,4.596,200.469
3.85861953,1.51026575,23.6678412,1.5,4.596,202.937
3.85894144,1.51065172,23.6739279,1.5,4.596,205.422
3.85932557,1.51032807,23.6728299,1.5,4.596,207.953
3.85985931,1.51141664,23.6701323,1.5,4.596,210.469
3.86025056,1.51078055,23.6709052,1.5,4.596,213
3.86073301,1.51007164,23.6759235,1.5,4.596,215.516
3.86124004,1.51080298,23.6661741,1.5,4.596,218.031
3.86175761,1.51057724,23.6706162,1.5,4.596,220.562
3.86222353,1.51453753,23.6631225,1.5,4.602,223.078
3.86283248,1.51028948,23.6660306,1.498,4.602,225.641
3.86303902,1.51087469,23.6612903,1.5,4.602,228.156
3.86361893,1.51213814,23.6668416,1.5,4.602,230.672
3.86416363,1.50939934,23.6774609,1.498,4.602,233.203
3.8643252,1.50793656,23.6606808,1.5,4.602,235.719
3.86518136,1.51108339,23.6620642,1.5,4.602,238.25
3.86548429,1.50707609,23.6645381,1.5,4.602,240.766
3.86604029,1.51000991,23.6670128,1.498,4.602,243.297
3.86652692,1.51296629,23.6689744,1.5,4.602,245.812
3.86713997,1.50886361,23.6669463,1.5,4.602,248.406
3.86733538,1.5126669,23.6670076,1.5,4.607,250.875
3.8679626,1.50827649,23.6753444,1.498,4.607,253.344
3.86853977,1.51059636,23.6690932,1.498,4.607,255.812
3.86895964,1.50815745,23.6627824,1.5,4.607,258.281
3.86947335,1.51336747,23.6646406,1.5,4.607,260.766
3.87001005,1.51130759,23.670033,1.5,4.607,263.297
3.87035619,1.51159306,23.6673561,1.498,4.607,265.812
3.87100117,1.51203716,23.6713969,1.5,4.607,268.328
3.87157536,1.51091623,23.6719561,1.5,4.607,270.859
3.87208158,1.5116138,23.6766982,1.498,4.613,273.375
3.87243175,1.51142213,23.6680941,1.498,4.613,275.906
3.87277276,1.5106931,23.681001,1.5,4.613,278.422
3.87331595,1.5125909,23.6739343,1.498,4.613,280.953
3.87387715,1.51085451,23.6770632,1.5,4.613,283.469
3.87457951,1.51285705,23.6741842,1.5,4.613,286
3.87486018,1.51212257,23.6785476,1.5,4.613,288.516
3.87545615,1.51043829,23.6749857,1.5,4.613,291.031
3.87592401,1.51343754,23.6720067,1.5,4.613,293.562
3.87645845,1.51213273,23.681181,1.5,4.613,296.078
3.87686095,1.50868088,23.6796612,1.5,4.613,298.609
3.87724508,1.50931473,23.6772179,1.5,4.613,301.062
3.87786637,1.50962355,23.6839074,1.5,4.618,303.625
3.87848158,1.50903225,23.6733934,1.5,4.618,306.094
3.87902473,1.51055725,23.6792259,1.5,4.618,308.578
