Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step
3.4801551,0.00041955059,32.6587,-0.001,-0.007,0
3.1705356,-3.5874372,32.612236,-3.605,1.455,2.453
3.563338,1.5157131,32.599583,1.507,4.278,7.25
3.5999979,1.519122,32.585506,1.507,4.327,11.828
3.6217098,1.5141568,32.554853,1.507,4.349,16.453
3.6384216,1.5128891,32.494,1.507,4.365,21.031
3.6531083,1.5156906,32.431226,1.507,4.381,25.609
3.666673,1.5159761,32.380264,1.507,4.397,30.187
3.6789149,1.515388,32.304787,1.507,4.408,34.766
3.690034,1.5151695,32.247506,1.507,4.419,39.406
3.7004449,1.5153617,32.174889,1.507,4.43,43.984
3.7101511,1.5181964,32.105235,1.506,4.44,48.547
3.7193848,1.5167246,32.040387,1.507,4.451,53.109
3.7276135,1.5153067,31.986089,1.507,4.457,57.672
3.7355413,1.5162893,31.910364,1.507,4.467,62.266
3.7431628,1.5139248,31.834117,1.507,4.473,66.828
3.7504217,1.5162203,31.774884,1.507,4.484,71.453
3.7568531,1.5156072,31.696123,1.507,4.489,76.047
3.7635268,1.5136314,31.649503,1.507,4.494,80.609
3.7698947,1.5185889,31.591332,1.507,4.5,85.187
3.7753754,1.5142241,31.53475,1.507,4.505,89.812
3.7808339,1.5138982,31.474774,1.507,4.511,94.375
3.7858679,1.5133338,31.415987,1.507,4.516,99
3.7907478,1.5157457,31.345356,1.507,4.521,103.578
3.7954613,1.5095141,31.278043,1.507,4.527,108.141
3.799556,1.5152752,31.222162,1.507,4.532,112.766
3.8035925,1.5149856,31.164559,1.507,4.532,117.344
3.8075463,1.5170802,31.108587,1.507,4.538,121.953
3.8108784,1.5163676,31.050036,1.507,4.543,126.516
3.8140132,1.512434,30.985677,1.507,4.543,131.078
3.8169364,1.5178656,30.939739,1.507,4.548,135.641
3.8199211,1.5135949,30.889955,1.507,4.548,140.266
3.8225014,1.5142841,30.837406,1.507,4.554,144.828
3.8247763,1.5158526,30.802652,1.507,4.554,149.406
3.8268856,1.5138435,30.739043,1.507,4.559,154.016
3.8290941,1.517159,30.680493,1.507,4.559,158.578
3.8305691,1.5160128,30.628652,1.507,4.565,163.141
3.8323434,1.5163915,30.58873,1.507,4.565,167.703
3.834018,1.5136309,30.552504,1.507,4.565,172.266
3.8353269,1.5160608,30.51006,1.507,4.565,176.828
3.8367881,1.5186329,30.453028,1.507,4.57,181.453
3.8381659,1.5168856,30.401627,1.507,4.57,186.016
3.8393707,1.5166842,30.348703,1.507,4.57,190.578
3.8408251,1.5153007,30.309663,1.507,4.57,195.125
3.8421105,1.5143662,30.272422,1.507,4.575,199.703
3.8434039,1.5135479,30.215733,1.507,4.575,204.281
3.844399,1.5155093,30.164785,1.507,4.575,208.828
3.8458631,1.515784,30.120673,1.507,4.575,213.406
3.8470086,1.517029,30.087864,1.507,4.575,218.016
3.8482423,1.5154605,30.050015,1.507,4.581,222.578
3.8496738,1.5167736,30.018617,1.507,4.581,227.203
3.8510029,1.5162804,29.974372,1.507,4.581,231.766
3.8524021,1.5168223,29.937287,1.507,4.586,236.328
3.8535391,1.5159541,29.882931,1.507,4.586,240.891
3.8548629,1.5161879,29.840801,1.507,4.592,245.453
3.8563988,1.5159794,29.805678,1.507,4.592,250.062
3.857533,1.5149236,29.775611,1.507,4.592,254.641
3.8587955,1.5161428,29.736761,1.507,4.592,259.219
3.8599976,1.5170712,29.697055,1.507,4.592,263.781
3.86147,1.5150187,29.661478,1.507,4.597,268.344
3.8625979,1.5140693,29.617282,1.507,4.597,272.906
3.8638624,1.5162638,29.584306,1.507,4.597,277.516
3.865119,1.5158171,29.553122,1.507,4.597,282.078
3.8664864,1.5159515,29.513549,1.506,4.597,286.641
3.8674148,1.5141002,29.466743,1.507,4.597,291.203
3.8690259,1.5179683,29.423803,1.507,4.602,295.766
3.8702396,1.5169408,29.398539,1.507,4.602,300.312
3.8711244,1.5130472,29.370538,1.507,4.602,304.891
3.8725731,1.5165842,29.33052,1.507,4.602,309.547
3.8738482,1.5151439,29.29815,1.507,4.602,314.109
3.8751854,1.5150111,29.267847,1.507,4.608,318.656
3.8760091,1.5153652,29.227634,1.507,4.608,323.234
3.8772043,1.5164361,29.205707,1.507,4.608,327.844
3.8788095,1.5162079,29.161509,1.507,4.608,332.406
3.8799416,1.5146747,29.13936,1.507,4.613,336.953
3.8809939,1.5159048,29.117629,1.507,4.613,341.516
3.8821934,1.5160233,29.087736,1.507,4.613,346.078
3.8834422,1.5154647,29.057605,1.507,4.613,350.641
3.8846796,1.5130626,29.025111,1.507,4.619,355.266
3.8857321,1.5149335,28.986507,1.507,4.619,359.828
3.8869667,1.514022,28.951078,1.507,4.619,364.437
3.8880245,1.5154706,28.929845,1.507,4.619,369
3.8892966,1.5156353,28.89537,1.507,4.619,373.562
3.8903325,1.5149299,28.866855,1.507,4.619,378.109
3.8913981,1.5148064,28.847772,1.507,4.619,382.687
3.8924839,1.5148884,28.801346,1.507,4.624,387.297
3.8934986,1.5174923,28.767581,1.507,4.624,391.859
3.894646,1.5171098,28.745321,1.507,4.624,396.437
3.8956638,1.5157157,28.733507,1.507,4.624,401
3.8969006,1.5156162,28.711625,1.507,4.624,405.562
3.8978101,1.5147532,28.675674,1.507,4.629,410.156
3.8990896,1.5140239,28.647123,1.507,4.629,414.734
3.9001236,1.5171148,28.622776,1.507,4.629,419.297
3.9012571,1.5145035,28.595217,1.507,4.629,423.859
3.9023695,1.515781,28.565757,1.507,4.629,428.484
3.9032681,1.5129808,28.554515,1.507,4.629,433.031
3.904366,1.5149686,28.524766,1.507,4.635,437.594
3.9052825,1.5170285,28.497447,1.507,4.635,442.156
3.9061523,1.5154656,28.468169,1.507,4.635,446.719
3.9074363,1.517465,28.434793,1.507,4.635,451.266
3.9082535,1.5161719,28.404683,1.507,4.635,455.828
3.9097442,1.5119843,28.380588,1.507,4.635,460.391
3.9101407,1.5158119,28.365132,1.507,4.64,464.953
3.9110465,1.5219301,28.351257,1.507,4.64,469.516
3.9122749,1.5160974,28.325901,1.507,4.64,474.078
3.9129499,1.5166442,28.305489,1.507,4.64,478.687
3.9141336,1.5166176,28.270888,1.507,4.64,483.312
3.9147634,1.5172354,28.24446,1.507,4.646,487.875
3.9159336,1.5140803,28.229703,1.507,4.646,492.5
3.9167252,1.5144474,28.209953,1.507,4.646,497.047
3.9176693,1.5153935,28.172256,1.507,4.646,501.625
3.9184318,1.5133138,28.145218,1.507,4.646,506.234
3.9192392,1.5186099,28.12276,1.507,4.646,510.797
3.9200377,1.5165291,28.112907,1.507,4.651,515.359
3.9208446,1.517033,28.098038,1.507,4.651,519.922
3.9216648,1.5152953,28.077367,1.507,4.651,524.484
3.9225759,1.5171246,28.055694,1.507,4.651,529.047
3.9234332,1.5163345,28.031908,1.507,4.651,533.609
3.9241654,1.5151195,28.008467,1.507,4.651,538.172
3.9251321,1.5166006,27.985198,1.507,4.651,542.797
3.9258121,1.5172139,27.966591,1.507,4.656,547.344
3.9267509,1.5193702,27.942567,1.507,4.656,551.906
3.9271908,1.5167771,27.917262,1.507,4.656,556.469
3.9281462,1.5193731,27.895907,1.507,4.656,561.031
3.9290253,1.5157143,27.883759,1.506,4.656,565.641
3.9299158,1.5154699,27.850647,1.507,4.656,570.219
3.9302149,1.5169307,27.82518,1.507,4.656,574.797
3.9312157,1.5124127,27.794805,1.507,4.656,579.344
3.9319753,1.5153617,27.771643,1.507,4.656,583.937
3.9328127,1.5162616,27.75878,1.507,4.656,588.562
3.933503,1.5158471,27.748151,1.507,4.662,593.125
3.9340702,1.512004,27.736024,1.507,4.662,597.687
3.9347527,1.5192075,27.727017,1.507,4.662,602.312
3.9354504,1.51543,27.706389,1.507,4.662,606.875
3.9366691,1.5162563,27.682954,1.507,4.662,611.437
3.9368265,1.5159732,27.662689,1.507,4.662,615.984
3.9375947,1.5145308,27.645397,1.507,4.662,620.547
3.9384168,1.5117144,27.637307,1.507,4.667,625.109
3.9391057,1.5141635,27.616946,1.507,4.667,629.687
3.9396204,1.5152088,27.602023,1.507,4.667,634.297
3.9406052,1.515105,27.588139,1.507,4.667,638.891
3.9414222,1.5150412,27.56146,1.507,4.667,643.437
3.9418185,1.5161689,27.545464,1.507,4.667,648.016
3.9426087,1.5167251,27.521657,1.507,4.667,652.641
3.9431918,1.5141132,27.49965,1.507,4.672,657.187
3.9437812,1.5147931,27.490594,1.507,4.672,661.75
3.944125,1.5169038,27.476924,1.507,4.672,666.312
3.9450706,1.5161379,27.468624,1.507,4.672,670.875
3.9455723,1.5145839,27.449367,1.507,4.672,675.437
3.9460761,1.5161317,27.433664,1.507,4.672,680.016
3.9467949,1.515252,27.418495,1.507,4.672,684.641
3.9474209,1.5156386,27.402441,1.507,4.672,689.25
3.947916,1.5174818,27.383122,1.507,4.678,693.828
3.9485093,1.5151221,27.377146,1.506,4.678,698.422
3.9493934,1.5170965,27.355089,1.507,4.678,702.984
3.9498624,1.5138238,27.337099,1.507,4.678,707.562
3.9505142,1.5164309,27.312066,1.507,4.678,712.187
3.9509422,1.5169878,27.293622,1.507,4.678,716.734
3.9515673,1.5161984,27.30064,1.507,4.678,721.297
3.9523258,1.5149488,27.282099,1.507,4.678,725.859
3.952622,1.5140314,27.264478,1.507,4.678,730.422
3.9534756,1.5138746,27.245512,1.507,4.678,735.047
3.9535154,1.5136067,27.224511,1.507,4.683,739.625
3.9539834,1.5155488,27.213884,1.507,4.683,744.25
3.9550619,1.5122236,27.212209,1.507,4.683,748.828
3.9554149,1.5182197,27.203852,1.507,4.683,753.391
3.956098,1.5152648,27.185403,1.507,4.683,758.016
3.956783,1.5169288,27.16511,1.507,4.683,762.594
3.9574897,1.5168234,27.148408,1.507,4.683,767.172
3.9578408,1.5151798,27.127,1.507,4.683,771.734
3.958129,1.5158852,27.117836,1.507,4.683,776.297
3.9589958,1.5170586,27.108096,1.507,4.683,780.922
3.9597606,1.5174257,27.10552,1.507,4.683,785.547
3.9599817,1.515048,27.096023,1.507,4.683,790.125
3.9604009,1.5151138,27.077468,1.507,4.683,794.687
3.9611461,1.5141017,27.064247,1.507,4.689,799.312
3.9615014,1.5167234,27.046285,1.507,4.689,803.891
3.9621454,1.5160741,27.0251,1.507,4.689,808.547
3.9628544,1.514266,27.017262,1.507,4.689,813.125
3.9630918,1.5142325,27.011726,1.507,4.689,817.703
3.9639701,1.5167556,26.994128,1.507,4.689,822.312
3.9647081,1.5138147,26.977005,1.507,4.689,826.875
3.9649093,1.5173931,26.97218,1.507,4.689,831.437
3.9655363,1.5162666,26.979776,1.507,4.694,836.016
3.9661993,1.5134775,26.970677,1.507,4.694,840.578
3.9669674,1.5151726,26.948091,1.507,4.694,845.141
3.9671982,1.5144212,26.93784,1.507,4.694,849.703
3.96787,1.5165345,26.922053,1.507,4.694,854.281
3.9684841,1.5171796,26.908054,1.507,4.694,858.891
3.9688223,1.5177661,26.900525,1.507,4.694,863.453
3.9693631,1.5179167,26.881254,1.507,4.694,868.016
3.9701903,1.5141756,26.863008,1.507,4.694,872.641
3.9707379,1.5167888,26.86753,1.507,4.694,877.219
3.9712351,1.5166844,26.864059,1.507,4.699,881.797
3.9717296,1.5138497,26.856715,1.507,4.694,886.359
3.9726531,1.5182961,26.840183,1.507,4.699,890.937
3.9727656,1.513927,26.831227,1.507,4.699,895.547
3.9736969,1.5141772,26.816756,1.507,4.699,900.109
3.9739984,1.5140176,26.815206,1.507,4.699,904.687
3.9747211,1.5150383,26.814113,1.507,4.699,909.25
3.9752104,1.5151052,26.80944,1.507,4.699,913.875
3.9755304,1.5177947,26.792835,1.507,4.699,918.437
3.9761649,1.5154775,26.786952,1.507,4.699,923
3.9768298,1.5143688,26.773832,1.507,4.699,927.562
3.9771822,1.5157787,26.750617,1.507,4.705,932.125
3.9781048,1.5161391,26.739881,1.507,4.705,936.687
3.978504,1.51529,26.73564,1.507,4.705,941.266
3.979158,1.515433,26.7343,1.507,4.705,945.844
3.9798104,1.5137723,26.728405,1.507,4.705,950.453
3.9800724,1.5169206,26.729146,1.507,4.705,955.016
3.9809959,1.516211,26.710157,1.507,4.705,959.578
3.9813905,1.5127466,26.715211,1.507,4.705,964.203
3.9820305,1.5150627,26.71092,1.507,4.705,968.766
3.9825067,1.5136794,26.696984,1.507,4.705,973.328
3.982994,1.5147983,26.69113,1.507,4.71,977.875
3.9838577,1.5170653,26.684723,1.507,4.71,982.453
3.983913,1.5172347,26.672472,1.507,4.71,987.016
3.9851012,1.5123208,26.655901,1.507,4.71,991.578
3.9854444,1.515417,26.650356,1.507,4.71,996.172
3.9860252,1.5127762,26.637539,1.507,4.71,1000.766
3.9867059,1.5162789,26.625602,1.507,4.71,1005.328
3.9869457,1.5164942,26.631996,1.507,4.71,1009.906
3.9875463,1.5166721,26.632646,1.507,4.71,1014.531
3.9882561,1.5147865,26.618764,1.507,4.716,1019.109
3.9887471,1.5150218,26.62166,1.507,4.716,1023.672
3.9894477,1.5167482,26.615702,1.507,4.716,1028.328
3.9900455,1.5139586,26.607452,1.507,4.716,1032.906
3.9904962,1.5159192,26.589727,1.507,4.716,1037.469
3.9910303,1.5169536,26.583052,1.507,4.716,1042.031
3.9914227,1.515529,26.58917,1.507,4.716,1046.594
3.9919458,1.5156505,26.578654,1.507,4.716,1051.187
3.9925757,1.5166146,26.56516,1.507,4.716,1055.75
3.9932412,1.5158271,26.551353,1.507,4.716,1060.328
3.9937348,1.5131381,26.547154,1.507,4.721,1064.953
3.9945688,1.5121156,26.546515,1.507,4.721,1069.531
3.9948311,1.5146277,26.539365,1.507,4.721,1074.094
