Voltages,Currents,Temperatures,Charge Currents,Charge Voltages,Time step,Capacity,SOH
4.1993985,-0.00044771301,23.236214,0.0006,0,0,1.7418496,0.8709248
4.1988356,-0.0012735041,23.245386,0.0008,4.214,9.39,1.7418496,0.8709248
4.0056242,-2.0149429,23.263015,1.9982,3.038,19.562,1.7418496,0.8709248
3.9899339,-2.0126372,23.325449,1.9982,3.018,28.89,1.7418496,0.8709248
3.9777407,-2.014778,23.41017,1.9982,3.009,38.25,1.7418496,0.8709248
3.9675645,-2.0119715,23.498752,1.9982,3,47.609,1.7418496,0.8709248
3.9583744,-2.011487,23.599053,1.9982,2.991,56.953,1.7418496,0.8709248
3.9504901,-2.0130211,23.700298,1.9982,2.981,66.375,1.7418496,0.8709248
3.94311,-2.0128368,23.791617,1.9982,2.968,75.734,1.7418496,0.8709248
3.9363768,-2.0129456,23.893737,1.9982,2.961,85.125,1.7418496,0.8709248
3.9299348,-2.0123991,23.989373,1.9982,2.953,94.5,1.7418496,0.8709248
3.924291,-2.0110884,24.092276,1.9982,2.949,103.812,1.7418496,0.8709248
3.9189187,-2.0108812,24.191787,1.9982,2.945,113.218,1.7418496,0.8709248
3.9136174,-2.0138857,24.290758,1.9982,2.939,122.562,1.7418496,0.8709248
3.9086972,-2.0115279,24.407839,1.9982,2.935,131.953,1.7418496,0.8709248
3.9039973,-2.0118589,24.494799,1.9982,2.931,141.312,1.7418496,0.8709248
3.8997303,-2.0120076,24.601267,1.9982,2.927,150.656,1.7418496,0.8709248
3.8951664,-2.0126413,24.698928,1.9982,2.923,160.031,1.7418496,0.8709248
3.8909564,-2.0123309,24.795436,1.9982,2.92,169.421,1.7418496,0.8709248
3.8870895,-2.0131608,24.900775,1.9982,2.917,178.781,1.7418496,0.8709248
3.883187,-2.009203,25.004115,1.998,2.913,188.156,1.7418496,0.8709248
3.8790364,-2.0136529,25.104911,1.9982,2.909,197.531,1.7418496,0.8709248
3.8755479,-2.0112401,25.207719,1.9982,2.905,206.875,1.7418496,0.8709248
3.8717434,-2.0126505,25.287149,1.9982,2.902,216.218,1.7418496,0.8709248
3.8682855,-2.009307,25.374974,1.998,2.899,225.609,1.7418496,0.8709248
3.8650499,-2.0136106,25.496371,1.998,2.895,234.937,1.7418496,0.8709248
3.8615629,-2.0109457,25.598125,1.9982,2.893,244.375,1.7418496,0.8709248
3.858601,-2.01516,25.665426,1.9982,2.889,253.734,1.7418496,0.8709248
3.85496,-2.0134122,25.746901,1.9982,2.887,263.125,1.7418496,0.8709248
3.8518307,-2.0146852,25.861763,1.9982,2.884,272.453,1.7418496,0.8709248
3.8488452,-2.0127312,25.961365,1.9982,2.881,281.812,1.7418496,0.8709248
3.8459977,-2.0120768,26.04877,1.9982,2.878,291.156,1.7418496,0.8709248
3.8430955,-2.0124188,26.128975,1.9982,2.875,300.562,1.7418496,0.8709248
3.8402133,-2.0104116,26.218295,1.9982,2.872,309.937,1.7418496,0.8709248
3.8374576,-2.0118471,26.314084,1.9982,2.869,319.312,1.7418496,0.8709248
3.8347985,-2.0126997,26.415466,1.9982,2.867,328.656,1.7418496,0.8709248
3.8320968,-2.0128106,26.474965,1.9982,2.863,338.031,1.7418496,0.8709248
3.8292325,-2.0102269,26.569687,1.9982,2.861,347.359,1.7418496,0.8709248
3.8267834,-2.0129265,26.683189,1.9982,2.859,356.687,1.7418496,0.8709248
3.8242072,-2.0116394,26.763196,1.9982,2.855,366.031,1.7418496,0.8709248
3.8214912,-2.0097287,26.851245,1.9982,2.853,375.39,1.7418496,0.8709248
3.8188598,-2.0119011,26.957985,1.9982,2.851,384.765,1.7418496,0.8709248
3.815982,-2.0132643,27.048701,1.9982,2.848,394.093,1.7418496,0.8709248
3.8133854,-2.0133144,27.070591,1.9982,2.845,403.421,1.7418496,0.8709248
3.8107742,-2.010599,27.168692,1.9982,2.843,412.796,1.7418496,0.8709248
3.8079707,-2.0109043,27.249416,1.9982,2.84,422.156,1.7418496,0.8709248
3.8050244,-2.0143996,27.325495,1.9982,2.838,431.546,1.7418496,0.8709248
3.8022034,-2.0100777,27.429865,1.9982,2.835,440.937,1.7418496,0.8709248
3.7993418,-2.0112659,27.532075,1.9982,2.833,450.281,1.7418496,0.8709248
3.7965991,-2.0094047,27.576715,1.9982,2.829,459.656,1.7418496,0.8709248
3.7935371,-2.0122654,27.659629,1.9982,2.827,468.984,1.7418496,0.8709248
3.7906576,-2.0121732,27.784382,1.9982,2.825,478.39,1.7418496,0.8709248
3.7876893,-2.0120078,27.865022,1.9982,2.821,487.75,1.7418496,0.8709248
3.7847174,-2.0151429,27.946486,1.9982,2.818,497.125,1.7418496,0.8709248
3.7817687,-2.0151351,28.027995,1.9982,2.815,506.468,1.7418496,0.8709248
3.7788989,-2.0108253,28.036564,1.9982,2.813,515.765,1.7418496,0.8709248
3.775813,-2.0122205,28.121256,1.9982,2.809,525.093,1.7418496,0.8709248
3.7726433,-2.0116728,28.218737,1.9982,2.807,534.468,1.7418496,0.8709248
3.7696756,-2.014163,28.306003,1.9982,2.804,543.875,1.7418496,0.8709248
3.766707,-2.0123455,28.390211,1.9982,2.801,553.312,1.7418496,0.8709248
3.7637202,-2.0112021,28.399706,1.9982,2.799,562.703,1.7418496,0.8709248
3.7608088,-2.015136,28.454009,1.9982,2.795,572.062,1.7418496,0.8709248
3.7576197,-2.0107202,28.535117,1.9982,2.793,581.437,1.7418496,0.8709248
3.7547815,-2.0152257,28.612912,1.9982,2.789,590.812,1.7418496,0.8709248
3.7519344,-2.0144117,28.687164,1.9982,2.786,600.203,1.7418496,0.8709248
3.7490727,-2.0145389,28.737052,1.9982,2.784,609.546,1.7418496,0.8709248
3.7461867,-2.0118187,28.778833,1.9982,2.781,618.89,1.7418496,0.8709248
3.7434267,-2.0151893,28.815345,1.9982,2.779,628.281,1.7418496,0.8709248
3.7407463,-2.0116598,28.874797,1.9982,2.775,637.64,1.7418496,0.8709248
3.7378916,-2.0147155,28.848239,1.9982,2.773,646.953,1.7418496,0.8709248
3.7352796,-2.013724,28.855401,1.9982,2.77,656.296,1.7418496,0.8709248
3.7329208,-2.0135144,28.859391,1.9982,2.768,665.625,1.7418496,0.8709248
3.7303281,-2.0142312,28.910631,1.9982,2.763,675.015,1.7418496,0.8709248
3.7279671,-2.0121296,28.973663,1.9982,2.762,684.375,1.7418496,0.8709248
3.7255333,-2.0127242,28.990368,1.9982,2.761,693.703,1.7418496,0.8709248
3.7228858,-2.0128567,29.013023,1.9982,2.759,703.031,1.7418496,0.8709248
3.7207588,-2.0120986,29.017052,1.9982,2.756,712.39,1.7418496,0.8709248
3.7182526,-2.0101377,29.011166,1.9982,2.753,721.765,1.7418496,0.8709248
3.7160914,-2.0107759,29.00944,1.9982,2.752,731.156,1.7418496,0.8709248
3.7138292,-2.0139168,29.020405,1.9982,2.751,740.5,1.7418496,0.8709248
3.7111457,-2.0132206,29.030378,1.9982,2.748,749.859,1.7418496,0.8709248
